text,size,group,year1,type_of_violence,conflict_name,dyad_name,source_original,where_coordinates,date_start,date_end
Reuters 13 aug 07,4,352,2007,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,Media center for National Security,Water off Pulmoddai village,39306,39307
"BBC Monitoring South Asia, 2009-01-27, Sri Lanka army's artillery kills over 300 civilians - pro-Tamil website",270,352,2009,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,TamilNet correspondent,Moongilaru locality,39838,39839
"Xinhua News Agency, 2009-02-05, 2nd LD Writethru: Sri Lankan troops gain full control of Vishvamadu area, capture rebel base",18,352,2009,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,Military spokesman Udaya Nanayakkara,Chalai town,39848,39849
"Agence France Presse, 2009-03-08, Over 100 Sri Lankan rebels killed: govt",100,352,2009,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,the defence ministry,Mullaittivu,39878,39879
R 10/7/1997 FOCUS-Over 400 killed in two-day Sri Lanka battle,86,352,1997,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,defence ministry,Jaffna,35709,35710
Reuters 3 apr 07,23,352,2007,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,military,Batticaloa,39173,39174
AFP 5/6/2008 Sri Lanka says violence claims 17,7,352,2008,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,defence ministry,Vavuniya,39573,39574
"BBC Monitoring South Asia, 2009-05-09, Pro-Tamil website says Sri Lankan army continues shelling on civilians",40,352,2009,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,TamilNet,Vellamullivaikkal town,39940,39941
"R, 1994-10-04",20,489,1989,3,Government of Sri Lanka - Civilians,Government of Sri Lanka - Civilians,residents,Pannipitiya suburb,32721,32751
"R 4/10/1991 HUNDREDS OF REBELS, TROOPS KILLED IN FIGHTING IN SRI LANKA.",6,352,1991,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,military sources,Manal Aru stream,33337,33337
Reuters 23 jul 07,5,352,2007,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,LTTE,Mannar,39285,39286
"R 3/4/2008 Sri Lanka says takes Tiger terrain, kills 23 rebels",23,352,2008,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,military spokesman,Mannar,39510,39511
R 8/18/1995 Tamil rebel dies attacking Sri Lanka police posts. [CORRECTED 09:36 GMT],1,352,1995,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,military,Pillayarady locality,34928,34929
R 8/18/1995 Tamil rebel dies attacking Sri Lanka police posts. [CORRECTED 09:36 GMT],1,352,1995,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,military,Sathurukondan locality,34928,34929
R 8/18/1995 Tamil rebel dies attacking Sri Lanka police posts. [CORRECTED 09:36 GMT],1,352,1995,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,military,Urani town,34928,34929
R 8/6/1995 Sri Lankan police commandos repulse rebel raid.,3,352,1995,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,,Ampara,34916,34917
R 4/20/1996 Sri Lanka army kills 50 rebels in northern attack.,50,352,1996,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,,Vadamaradchchi division,35174,35175
AP 9/4/2000 Sri Lankan troops attack Tamil rebels; 316 reported killed      R 9/4/2000 UPDATE 2-Two killed as Sri Lanka election campaign begins.,330,352,2000,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,,Jaffna,36772,36773
R 7/29/1991 TROOPS KILL 60 REBELS IN ADVANCE TO BESIEGED SRI LANKAN CAMP.,2,352,1991,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,,Ampara,33446,33446
R 5/29/1992 AT LEAST 110 DIE IN SRI LANKA FIGHTING - ARMY.,34,352,1992,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,military,Jaffna,33752,33752
R 5/29/1992 AT LEAST 110 DIE IN SRI LANKA FIGHTING - ARMY.,35,352,1992,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,military,Mullaittivu,33752,33752
R 12/2/1992 10 die as rebels hit three Sri Lankan army camps.,10,352,1992,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,military spokesman,Katupotha town,33940,33940
"R 7/30/1991 70 REBELS, FIVE SOLDIERS DIE IN FIGHTING IN NORTHERN SRI LANKA.",75,352,1991,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,military spokesman,Elephant Pass,33448,33448
BBC 3/24/2008 Clashes with Tamil Tigers kill 55 Sri Lankan troops - website,0,352,2008,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,Source: TamilNet website in English 23 Mar 08,Mannar,39529,39529
R 1/2/1989 SRI LANKA SAYS IT FOILED REBEL PLOT TO KILL MINISTER.,16,313,1990,1,Sri Lanka (Ceylon): Government,Government of Sri Lanka - JVP,police,Galaha village,32874,32874
"Report to Congress on Incidents During the Recent Conflict in Sri Lanka. U.S. Department of State, 2009.",5,352,2009,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,sources in the conflict zone,Suthanthirapuram locality,39833,39833
"Report to Congress on Incidents During the Recent Conflict in Sri Lanka. U.S. Department of State, 2009.",4,352,2009,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,sources in the conflict zone,Thevipuram locality,39833,39833
"Report to Congress on Incidents During the Recent Conflict in Sri Lanka. U.S. Department of State, 2009.",4,352,2009,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,sources in the conflict zone,Vallipunam town,39833,39833
"R 2/27/1991 SOLDIER KILLED, THREE WOUNDED IN SRI LANKAN AMBUSH.",1,352,1991,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,military sources,Eastern,33296,33296
R 2/28/1991 SRI LANKAN MILITARY TO MOUNT OFFENSIVE AGAINST TAMIL REBELS.,5,352,1991,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,military sources,Trincomalee,33296,33296
R 3/1/1991 FOUR KILLED IN CLASHES BETWEEN TAMIL REBELS AND TROOPS.,1,352,1991,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,military sources,Vavuniya town,33297,33297
"Reuters, 22 June 1990",62,520,1990,3,LTTE - Civilians,LTTE - Civilians,security sources,Nintavur  village,33046,33046
R 6/26/1990 BATTLE RAGES FOR CONTROL OF ARMY BASE IN NORTHERN SRI LANKA.,7,352,1990,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,,Trincomalee,33049,33049
R 3/1/1991 FOUR KILLED IN CLASHES BETWEEN TAMIL REBELS AND TROOPS.,3,352,1991,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,military sources,Kurumpasiddy town,33297,33297
R 7/22/1990 SRI LANKA SAYS MASS GRAVE IN BUSH HOLDS POLICEMEN'S CORPSES.,36,352,1990,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,military sources,Mannar town,33075,33075
R 9/2/1989 FORTY-ONE DIE IN SPIRAL OF SRI LANKAN VIOLENCE.,8,313,1989,1,Sri Lanka (Ceylon): Government,Government of Sri Lanka - JVP,military sources,Kamburupitiya town,32752,32753
R 5/14/1992 SRI LANKAN TAMIL REBELS STEP UP ATTACKS.,2,352,1992,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,,Vavuniya,33737,33737
"R 6/7/1992 60 TAMIL REBELS KILLED OR WOUNDED, ARMY SAYS.",4,352,1992,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,,Mannar,33762,33762
R 10/27/1990 SRI LANKAN TROOPS DESTORY LARGE REBEL BASE.,1,352,1990,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,military sources,Kankesanthurai town,33171,33171
R 8/21/1992 TAMIL REBELS KILLED IN SRI LANKAN OFFENSIVE.,25,352,1992,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,Defence Ministry,Tellipalai town,33836,33836
R 12/28/1990 SRI LANKAN REBELS DEMOLISH A FORT TO STOP ARMY FROM USING IT.,9,352,1990,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,official,Sri Lanka,33234,33234
R 3/4/1991 SRI LANKA DEVELOPING TWO NEW ZONES FOR FOREIGN INVESTMENT.,1,352,1991,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,military sources,Batticaloa town,33301,33301
R 3/9/1991 NINE DIE IN SEPARATIST VIOLENCE IN SRI LANKA.,7,352,1991,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,military sources,Ampara,33304,33304
"R 3/14/1991 TAMIL REBELS KILLED SRI LANKAN MINISTER, SAYS GOVERNMENT.     R 3/14/1991 SRI LANKAN TROOPS KILL OR WOUND 40 TAMIL REBELS IN OFFENSIVE.",40,352,1991,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,military sources,Vavuniya,33309,33311
"R 3/7/1991 THREE SRI LANKAN SOLDIERS, TEN OTHERS, DIE IN NORTH AND EAST.",2,352,1991,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,,Batticaloa,33303,33303
X 4/7/1991 Fierce battles rage in north and east.,14,352,1991,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,,Vakarai town,33334,33334
R 9/13/1991 DEATH TOLL RISES TO OVER 500 IN NORTHERN SRI LANKA BATTLE.,2,352,1991,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,military sources,Batticaloa,33492,33492
R 5/15/1991 TWO SOLDIERS KILLED IN SRI LANKAN REBEL BLAST.,2,352,1991,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,military sources,Kiran town,33373,33373
R 5/19/1991 SRI LANKAN TROOPS KILL SIX TAMIL REBELS.,2,352,1991,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,military sources,Elephant Pass,33376,33376
R 6/9/1991 TEN KILLED IN MILITARY OPERATION IN SRI LANKA.,2,352,1991,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,security sources,Batticaloa town,33397,33397
R 7/4/1991 SRI LANKAN TAMIL BOMBER COMMITS SUICIDE.,4,352,1991,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,,Batticaloa,33422,33422
"R 8/1/1991 2,000 REBELS, SOLDIERS KILLED IN BATTLE FOR SRI LANKAN BASE.",1176,352,1991,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,,Elephant Pass,33429,33450
R 7/14/1991 SIX MORE SOLDIERS DIE IN SRI LANKAN BATTLE.,4,352,1991,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,military sources,Ampara,33432,33432
R 7/31/1991 TROOPS FIGHT TO WITHIN SIGHT OF BESIEGED SRI LANKAN ARMY CAMP.,1,352,1991,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,,Batticaloa,33449,33449
"R 8/11/1991 40 TAMIL REBELS, THREE SOLDIERS KILLED IN SRI LANKAN BATTLE.",42,352,1991,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,military sources,Elephant Pass,33460,33460
R 8/13/1991 SRI LANKAN TAMIL REBELS HACK TO DEATH FAMILY OF FIVE IN EAST.,1,352,1991,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,,Ampara,33461,33461
R 3/10/1991 TAMIL REBELS KILL 15 SOLDIERS IN SRI LANKA.,4,352,1991,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,military sources,Thiriyai locality,33307,33307
R 3/10/1991 TAMIL REBELS KILL 15 SOLDIERS IN SRI LANKA.,11,352,1991,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,military sources,Toppur town,33307,33307
R 1/23/1992 EIGHT SOLDIERS KILLED ESCORTING SRI LANKA FARMERS.,13,352,1992,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,military spokesman,Vavuniya town,33625,33625
R 3/21/1992 NINETEEN KILLED IN SRI LANKAN SEPARATIST VIOLENCE.,19,352,1992,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,Defence Ministry statement,Polonnaruwa,33684,33684
R 9/4/1989 SINHALESE REBELS ATTACK FIVE POLICE POSTS IN SRI LANKA.,8,313,1989,1,Sri Lanka (Ceylon): Government,Government of Sri Lanka - JVP,,Sri Lanka,32754,32755
R 11/19/1992 Assassinated Sri Lankan navy chief cremated.,6,352,1992,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,military spokesman and LTTE statement,Mannar,33926,33927
R 11/27/1992 Sri Lankan planes bomb Tamil rebels in Jaffna.,2,352,1992,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,military spokesman,Jaffna,33934,33934
R 9/22/1994 Fifteen die in Sri Lankan conflict.,2,352,1994,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,security sources,Mannar,34599,34599
R 12/15/1992 Tamil rebel toll mounts in jungle offensive.,3,352,1992,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,military,Batticaloa,33953,33953
"R, 1994-10-23",0,520,1994,3,LTTE - Civilians,LTTE - Civilians,police,Colombo city,34630,34630
R 2/15/1993 Eight die in clashes in eastern Sri Lanka.,5,352,1993,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,military sources,Trincomalee,34014,34014
R 3/21/1993 Sri Lankan troops kill three Tamil rebels.,3,352,1993,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,military spokesman,Batticaloa,34048,34048
"R 4/9/1993 Thirty-nine dead in Sri Lankan clash, report.",39,352,1993,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,military spokesman,Manal Aru stream,34068,34068
"R 3/12/1991 SRI LANKAN AIR FORCE BOMBS REBEL TARGETS, TROOPS ADVANCE.",4,352,1991,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,military sources,Kantalai town,33308,33308
"R 3/12/1991 SRI LANKAN AIR FORCE BOMBS REBEL TARGETS, TROOPS ADVANCE.",1,352,1991,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,military sources,Elephant Pass,33308,33308
"R 3/12/1991 SRI LANKAN AIR FORCE BOMBS REBEL TARGETS, TROOPS ADVANCE.",7,352,1991,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,military sources,waters off Point Pedro town,33308,33308
R 1/22/1993 Two Sri Lankan policemen killed in rebel attack.,2,352,1993,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,military spokesman,Mannar,33991,33991
"R 9/19/1989 INDIA WARNS SRI LANKAN REBELS NOT TO VIOLATE TRUCE.    R 9/19/1989 TWO KILLED, 24 INJURED IN SRI LANKA VAN EXPLOSION.",8,313,1989,1,Sri Lanka (Ceylon): Government,Government of Sri Lanka - JVP,government spokesman,Colombo city,32769,32770
R 3/18/1991 TAMIL REBELS REJECT KEY CONDITION FOR SRI LANKAN TALKS.,1,352,1991,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,military sources,Batticaloa,33313,33313
R 7/28/1998 Sri Lanka says 26 killed in latest fighting.,10,352,1998,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,,Mankulam town,36004,36004
"BBC 6/27/1995 TAMIL TIGERS ATTACK EASTERN BATTICALOA DISTRICT. F Source: PTI news agency, New Delhi, in English 0556 gmt 26 Jun 95",2,352,1995,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,,Oyar Sinna Kulam locality,34875,34875
R 9/27/1995 Sri Lanka army says four rebels killed in ambush.,4,352,1995,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,military spokesman,Batticaloa,34967,34968
"R 10/17/1995 Sri Lanka push begins in rebel-held north - agency.     BBC 10/17/1995 FIFTEEN TAMIL TIGERS, 13 GOVERNMENT SOLDIERS KILLED IN BATTICALOA. F Source: Lankapuvath news agency in English 0454 gmt 18 Oct 95",13,352,1995,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,military,Chenkalady town,34988,34988
R 10/27/1995 Gunman kills Tamil politician in eastern Sri Lanka.,1,352,1995,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,police,Batticaloa town,34999,34999
"X, 2001-11-17",1,520,2001,3,LTTE - Civilians,LTTE - Civilians,police,Batticaloa,37212,37212
R 10/22/1996 Sri Lanka rebels kill 16 in attack on police post.,16,352,1996,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,Defence ministry spokesman,Palliyagodella locality,35360,35360
R 2/8/1997 Sri Lankan rebels pound government-held town.,2,352,1997,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,,Vavuniya town,35469,35469
R 11/3/1992 32 killed as rebels ambush Sri Lankan patrol.,32,352,1992,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,police and army sources said,Aranthalawa village,33911,33911
"Reuters, 5 November 1989",5,511,1989,3,JVP - Civilians,JVP - Civilians,govt statement,Sri Lanka,32816,32816
R 11/5/1989 AT LEAST 45 TAMIL REBELS KILLED IN SRI LANKAN CLASHES.   R 11/6/1989 SRI LANKA'S EASTERN TOWN QUIET BUT TENSE AFTER CLASHES.,50,4846,1989,2,EPRLF - LTTE,EPRLF - LTTE,security sources,Akkaraipattu town,32817,32817
R 11/5/1989 AT LEAST 45 TAMIL REBELS KILLED IN SRI LANKAN CLASHES.,6,313,1989,1,Sri Lanka (Ceylon): Government,Government of Sri Lanka - JVP,government statement,Attanapola village,32817,32817
"Reuters, 5 November 1989",0,511,1989,3,JVP - Civilians,JVP - Civilians,govt statement,Attanapola village,32817,32817
Reuters 23 June 2003,1,352,2003,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,Police sources,Colombo city,37795,37795
R 3/9/1993 Sri Lankan navy destroys five Tamil rebel dinghies.,3,352,1993,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,military spokesman,North Eastern,34035,34035
"X, 2000-02-07",0,520,2000,3,LTTE - Civilians,LTTE - Civilians,police,Badulla,36563,36563
AP 12/16/2000 Troops launch operation against Tamil Tiger rebels in Sri Lanka's north,38,352,2000,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,,Jaffna,36876,36876
R 3/21/2001 Sri Lanka says 7 missing in Tamil Tiger sea raid.,15,352,2001,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,,North Eastern,36965,36971
"AP 4/16/2001 Navy, rebels clash at sea, breaking Sri Lankan cease-fire",2,352,2001,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,,water off Mullaittivu town,36997,36997
AP 6/19/2001 Twelve killed in Sri Lanka's north and east in confrontations,3,352,2001,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,government spokesman,Manal Aru stream,37060,37060
R 11/25/1992 Grenade blast killed Tamil leader.,3,352,1992,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,military,Batticaloa,33932,33932
"R 11/24/1992 Tamil rebel ""heroes' week"" attack kills 79.",6,352,1992,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,military sources,Manal Aru stream,33932,33932
R 11/25/1992 Grenade blast killed Tamil leader.,15,352,1992,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,,Vavuniya,33932,33932
April 28 (Xinhua),0,520,2005,3,LTTE - Civilians,LTTE - Civilians,police,Chenkalady town,38469,38469
AP 9/14/2001 Four Tamil Tiger rebels killed in northern Sri Lanka,9,352,2001,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,,North Eastern,37147,37147
"AP 9/16/2001 Tamil rebels' attack on ship repulsed in Sri Lanka; 26 dead, 12 missing",2,352,2001,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,,Muhamalai town,37149,37149
R 12/10/1991 TEN SRI LANKAN SECURITY MEN DIE IN SEPARATIST VIOLENCE.,4,352,1991,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,military sources,Trincomalee,33582,33582
R 7/16/1993 Sri Lankan Tamil rebels kill three.,3,352,1993,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,military spokesman,Puttalam,34165,34165
R 9/17/1991 FOUR SOLDIERS DIE IN HEAVY FIGHTING IN NORTHERN SRI LANKA.,4,352,1991,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,military spokesman,Andankulam Forest Reserve,33497,33497
"R 6/15/1991 SRI LANKAN MINISTERS BEGIN PROBE OF ALLEGED MASSACRE OF TAMILS.    R 6/16/1991 100 TAMILS REBELS, 21 SOLDIERS KILLED IN NORTH SRI LANKA.",117,352,1991,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,military sources,Puvarasankulam locality,33403,33403
"R 6/23/1991 UP TO 250 TAMIL REBELS, 36 SOLDIERS KILLED IN SRI LANKA.",102,352,1991,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,military sources,Vavuniya town,33403,33410
"R 6/16/1991 100 TAMILS REBELS, 21 SOLDIERS KILLED IN NORTH SRI LANKA.",8,352,1991,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,,Batticaloa,33404,33404
R 3/23/1991 SRI LANKAN TAMIL REBELS HALT ATTACKS AFTER HEAVY DEATH TOLL.,5,352,1991,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,military sources,Palali locality,33317,33319
"R 3/24/1991 SRI LANKAN REBELS ATTACK ARMY CHECKPOINT, KILL THREE SOLDIERS.",1,352,1991,1,Sri Lanka (Ceylon): Eelam,Government of Sri Lanka - LTTE,,North Eastern,33320,33320
